,Background,Pier,Girder,Deck,Parapet
Background,158.0,0.0,1.0,0.0,0.0
Pier,3.0,621.0,7.0,0.0,0.0
Girder,11.0,5.0,587.0,2.0,5.0
Deck,3.0,0.0,1.0,646.0,26.0
Parapet,3.0,0.0,2.0,9.0,1131.0
