Metrics,Group 1,Group 2
MAE (mm),0.3225000000000008,3.3853333333333304
RMSE (mm),0.5594640292279752,3.660045081689565
R²,0.99138582886284,0.7397995029920952
Pearson r,0.9961705172278559,0.9826495001084046
RPE (%),3.5434474492740633,5.399915033786892
