,Background,Abutment,Girder,Deck,Parapet
Background,0.9735065503776958,0.021660592540645344,0.0003220846971689866,0.004307684496619698,0.0002030878878700999
Abutment,0.048788546517294085,0.9164212382901545,0.034790215192551335,0.0,0.0
Girder,0.0015743863894415483,0.0029079003770762367,0.9760015022831375,0.002335036079357948,0.017181174870986683
Deck,0.002454679936834382,7.923434269962498e-06,0.014116390495365188,0.9834051592649905,1.5846868539924996e-05
Parapet,1.5299958320803196e-05,0.0,0.001060972971832249,0.0,0.998923727069847
