,Background,Abutment,Girder,Deck,Parapet
Background,1189402.0,35378.0,1355.0,3033.0,286.0
Abutment,72332.0,2344919.0,44663.0,0.0,0.0
Girder,13925.0,43812.0,2356502.0,13778.0,33897.0
Deck,25803.0,10.0,24624.0,2411457.0,20.0
Parapet,119.0,0.0,3718.0,0.0,3693543.0
