,Background,U_Flg,Web,B_Flg,Vert_Stiff,Vert_Stiff_other,Horz_Stiff,Horz_Stiff_other
Background,0.9506172839506173,0.0,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.024691358024691357
U_Flg,0.004761904761904762,0.9857142857142858,0.009523809523809525,0.0,0.0,0.0,0.0,0.0
Web,0.0,0.010040160642570281,0.9779116465863453,0.004016064257028112,0.008032128514056224,0.0,0.0,0.0
B_Flg,0.0,0.0,0.0,0.9904153354632588,0.009584664536741214,0.0,0.0,0.0
Vert_Stiff,0.020833333333333332,0.0,0.14583333333333334,0.0,0.8125,0.0,0.0,0.020833333333333332
Vert_Stiff_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horz_Stiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horz_Stiff_other,0.0,0.0,0.045454541513742834,0.0,0.045454541513742834,0.0,0.0,0.9090908302748567
