Class,IoU
Background,86.97359
U_Flg,96.23986
Web,97.12427
B_Flg,98.7373
Vert_Stiff,59.597504
Vert_Stiff_other,0.0
Horz_Stiff,0.0
Horz_Stiff_other,56.634766
