,Background,U_Flg,Web,B_Flg,Vert_Stiff,Vert_Stiff_other,Horz_Stiff,Horz_Stiff_other
Background,0.9141759958344181,0.002293673522520177,0.004350429575631346,0.00025514189013277794,0.03403020046862796,0.0,0.0,0.04489455870866962
U_Flg,0.00033898683080765845,0.990008809197248,0.009554076205131636,0.0,9.812776681274323e-05,0.0,0.0,0.0
Web,0.0004673036061871295,0.005803529417591616,0.9799931155059608,0.0027188798581497054,0.010843821042777967,0.0,0.0,0.00017335056933279842
B_Flg,0.00018272569787769244,0.0,0.00045404567351426604,0.9967141015195501,0.002649127109057974,0.0,0.0,0.0
Vert_Stiff,0.07363832335329341,0.0067640718562874255,0.11924311377245508,0.004229940119760479,0.7897532934131737,0.0,0.0,0.00637125748502994
Vert_Stiff_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horz_Stiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horz_Stiff_other,0.03782779269048111,0.0,0.013958290315919884,0.0,0.15647326037580012,0.0,0.0,0.7917406566177989
