Class,Accuracy
Background,91.4176
U_Flg,99.000885
Web,97.99931
B_Flg,99.67141
Vert_Stiff,78.975334
Vert_Stiff_other,0.0
Horz_Stiff,0.0
Horz_Stiff_other,79.174065
