,Background,U_Flg,Web,B_Flg,Vert_Stiff,Vert_Stiff_other,Horz_Stiff,Horz_Stiff_other
Background,351135.0,881.0,1671.0,98.0,13071.0,0.0,0.0,17244.0
U_Flg,304.0,887830.0,8568.0,0.0,88.0,0.0,0.0,0.0
Web,1887.0,23435.0,3957271.0,10979.0,43788.0,0.0,0.0,700.0
B_Flg,231.0,0.0,574.0,1260036.0,3349.0,0.0,0.0,0.0
Vert_Stiff,15372.0,1412.0,24892.0,883.0,164861.0,0.0,0.0,1330.0
Vert_Stiff_other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horz_Stiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Horz_Stiff_other,1832.0,0.0,676.0,0.0,7578.0,0.0,0.0,38344.0
