,Background,Pier,Girder,Deck,Parapet
Background,157.0,0.0,2.0,0.0,0.0
Pier,4.0,613.0,14.0,0.0,0.0
Girder,3.0,1.0,605.0,0.0,1.0
Deck,1.0,0.0,3.0,659.0,13.0
Parapet,1.0,0.0,11.0,21.0,1112.0
