Class,cb6.h5,cb9.h5
Background,97.22222089767456,93.45238208770752
Deck,94.91525292396545,94.54806447029114
Girder,98.04804921150208,94.53125
Parapet,96.8464732170105,95.94478011131287
Pier,98.6975371837616,96.9936728477478
