,Background,Pier,Girder,Deck,Parapet
Background,0.9658289340420002,0.010852581166551642,0.019212728516669504,0.0011158813670218964,0.0029898749077567946
Pier,0.0022606103666594295,0.9852979397395061,0.012440519678063484,9.302157709898073e-07,0.0
Girder,0.0007080802448774413,0.0006230585234089729,0.9937908097286431,0.0008165434037748528,0.004061508099295697
Deck,0.0007067779427980556,0.0,0.0011702114399051776,0.9720325047157289,0.026090505901567917
Parapet,0.0006264662894773307,0.0,0.00733167302069834,0.009504767780095466,0.9825370929097289
