Class,cb6.h5,cb9.h5
Background,90.86537957191467,94.84079480171204
Deck,77.15730667114258,78.15141081809998
Girder,86.64384484291077,79.72915172576904
Parapet,53.35646867752075,45.73206901550293
Pier,69.68315243721008,91.72331094741821
