,Background,Pier,Girder,Deck,Parapet
Background,0.986512364433151,0.0006812867112265002,0.012235541070540795,0.000451122281758088,0.00011968550332357436
Pier,0.24173209612181776,0.7090173685462765,0.04913157268617654,0.00011896264572924102,0.0
Girder,0.04137865911237016,0.0013597733711048158,0.932219074598678,0.021038715769593958,0.004003777148253069
Deck,0.11914588193073748,3.5887313834559486e-05,0.0541180692625157,0.8156827561457025,0.011017405347209762
Parapet,0.25341186611119093,0.0,0.11061629076282144,0.06162907628214337,0.5743427668438442
