,Background,Pier,Girder,Deck,Parapet
Background,0.9865116365632822,0.0007025673952895415,0.010608302392451356,0.001265551864362618,0.0009119417846142393
Pier,0.1012123438648053,0.8634459955914768,0.03482733284349743,0.0005143277002204262,0.0
Girder,0.041458422086221046,0.0031275651749254475,0.918465103230432,0.03184713375796178,0.005101775750459783
Deck,0.067091671496267,0.00011931953772201957,0.08212593324924147,0.8334981079330447,0.017164967783724814
Parapet,0.23089184665657128,0.0,0.1307085359049972,0.07380250259026062,0.5645971148481709
