,Background,Pier,Girder,Deck,Parapet
Background,107153.0,74.0,1329.0,49.0,13.0
Pier,2032.0,5960.0,413.0,1.0,0.0
Girder,2191.0,72.0,49361.0,1114.0,212.0
Deck,3320.0,1.0,1508.0,22729.0,307.0
Parapet,1764.0,0.0,770.0,429.0,3998.0
