,Background,Pier,Girder,Deck,Parapet
Background,31.0,0.0,0.0,0.0,0.0
Pier,0.0,147.0,7.0,0.0,0.0
Girder,0.0,7.0,151.0,0.0,2.0
Deck,0.0,0.0,1.0,137.0,5.0
Parapet,0.0,0.0,0.0,0.0,263.0
