Class,HB-15-1.h5,HB-15-2.h5,HB-20-1.h5,HB-20-2.h5,HB-8.h5
Background,88.31169009208679,92.85714030265808,99.99999403953552,86.66666746139526,94.02984976768494
Deck,95.34883499145508,97.62712121009827,95.80419659614563,93.6170220375061,90.92702269554138
Girder,90.9375011920929,95.29780745506287,89.8809552192688,90.44944047927856,87.63636350631714
Parapet,95.97806334495544,98.03536534309387,97.40740656852722,94.9999988079071,95.60810923576355
Pier,92.30769276618958,95.9876537322998,91.30434989929199,94.38775777816772,96.24329209327698
