,Background,Pier,Girder,Deck,Parapet
Background,126.0,3.0,4.0,0.0,0.0
Pier,0.0,538.0,2.0,0.0,0.0
Girder,1.0,16.0,482.0,3.0,15.0
Deck,0.0,0.0,23.0,461.0,11.0
Parapet,0.0,0.0,4.0,9.0,849.0
