,Background,Pier,Girder,Deck,Parapet
Background,0.9315068493150684,0.0136986301369863,0.0547945205479452,0.0,0.0
Pier,0.014035087719298246,0.9263157894736842,0.05964912280701754,0.0,0.0
Girder,0.0,0.0,0.9797979797979798,0.0,0.020202020202020204
Deck,0.0,0.0,0.0,0.959866220735786,0.04013377926421405
Parapet,0.0,0.0,0.003780718336483932,0.003780718336483932,0.9924385633270322
