,Background,Pier,Girder,Deck,Parapet
Background,0.9534720569773453,0.025584009583747014,0.020874188704635154,3.0085963803850457e-05,3.965877046871197e-05
Pier,0.0026772099585602167,0.9732255159790381,0.024064062284176665,2.0097383746428244e-05,1.311439447860148e-05
Girder,0.002815507209425469,0.025135184711136727,0.9399226182599038,0.004010790591903718,0.028115899227630293
Deck,9.197107816162077e-06,0.0001001462851093204,0.018402561156083266,0.9503659341851558,0.03112216126583542
Parapet,4.5200420120894116e-05,0.0001549450960703338,0.003737637320577418,0.006411655292847689,0.9896505618703837
